C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\center_2018_10_18_02_27_48_180.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\left_2018_10_18_02_27_48_180.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\right_2018_10_18_02_27_48_180.jpg,0,0,0,7.862732
C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\center_2018_10_18_02_27_48_246.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\left_2018_10_18_02_27_48_246.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\right_2018_10_18_02_27_48_246.jpg,0,0,0,7.815299
C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\center_2018_10_18_02_27_48_314.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\left_2018_10_18_02_27_48_314.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\right_2018_10_18_02_27_48_314.jpg,0,0,0,7.768152
C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\center_2018_10_18_02_27_48_383.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\left_2018_10_18_02_27_48_383.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\right_2018_10_18_02_27_48_383.jpg,0,0,0,7.705731
C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\center_2018_10_18_02_27_48_451.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\left_2018_10_18_02_27_48_451.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\right_2018_10_18_02_27_48_451.jpg,0,0,0,7.659244
C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\center_2018_10_18_02_27_48_520.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\left_2018_10_18_02_27_48_520.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\right_2018_10_18_02_27_48_520.jpg,0,0,0,7.597696
C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\center_2018_10_18_02_27_48_587.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\left_2018_10_18_02_27_48_587.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\right_2018_10_18_02_27_48_587.jpg,0,0,0,7.551859
C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\center_2018_10_18_02_27_48_655.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\left_2018_10_18_02_27_48_655.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\right_2018_10_18_02_27_48_655.jpg,0,0,0,7.491174
C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\center_2018_10_18_02_27_48_725.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\left_2018_10_18_02_27_48_725.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\right_2018_10_18_02_27_48_725.jpg,0,0,0,7.44598
C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\center_2018_10_18_02_27_48_792.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\left_2018_10_18_02_27_48_792.jpg,C:\Users\Asus\Desktop\DATA_TRAINCAR\IMG\right_2018_10_18_02_27_48_792.jpg,0,0,0,7.401059
